Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Augmenting_s-t_Paths,Actual_Max_Flow,Computation_Time_Seconds
Mesh/mesh_19x8_const_18.txt,Mesh,154,459,O(154+459),19,171,0.005241
Mesh/mesh_20x10_rand_23.txt,Mesh,202,600,O(202+600),61,484,0.016509
Mesh/mesh_20x13_rand_11.txt,Mesh,262,774,O(262+774),68,556,0.028467
Mesh/mesh_20x20_rand_36.txt,Mesh,402,1180,O(402+1180),48,164,0.029458
Mesh/mesh_20x3_rand_50.txt,Mesh,62,194,O(62+194),47,531,0.003727
Mesh/mesh_20x4_const_2.txt,Mesh,82,252,O(82+252),20,180,0.000000
Mesh/mesh_20x5_const_22.txt,Mesh,102,310,O(102+310),20,120,0.000000
Mesh/mesh_20x5_const_34.txt,Mesh,102,310,O(102+310),20,20,0.004243
Mesh/mesh_3x12_const_5.txt,Mesh,38,87,O(38+87),3,27,0.000000
Mesh/mesh_3x12_rand_45.txt,Mesh,38,87,O(38+87),6,22,0.000000
Mesh/mesh_3x13_const_48.txt,Mesh,41,94,O(41+94),3,15,0.000377
Mesh/mesh_4x11_rand_37.txt,Mesh,46,114,O(46+114),12,58,0.000000
Mesh/mesh_4x13_const_8.txt,Mesh,54,134,O(54+134),4,16,0.000000
Mesh/mesh_4x4_rand_39.txt,Mesh,18,44,O(18+44),9,98,0.000000
Mesh/mesh_6x11_rand_17.txt,Mesh,68,182,O(68+182),14,112,0.002672
Mesh/mesh_6x12_const_10.txt,Mesh,74,198,O(74+198),6,54,0.000000
Mesh/mesh_6x13_const_7.txt,Mesh,80,214,O(80+214),6,18,0.000000
Mesh/mesh_6x15_rand_9.txt,Mesh,92,246,O(92+246),16,53,0.002116
Mesh/mesh_6x5_rand_35.txt,Mesh,32,86,O(32+86),15,92,0.004100
Mesh/mesh_6x6_rand_43.txt,Mesh,38,102,O(38+102),17,131,0.002123
Mesh/mesh_8x10_const_20.txt,Mesh,82,228,O(82+228),8,40,0.000000
Mesh/mesh_8x15_const_24.txt,Mesh,122,338,O(122+338),8,72,0.000310
Mesh/mesh_8x15_rand_26.txt,Mesh,122,338,O(122+338),20,157,0.007575
Mesh/mesh_8x8_const_41.txt,Mesh,66,184,O(66+184),8,24,0.000000
Mesh/mesh_9x5_rand_28.txt,Mesh,47,134,O(47+134),21,86,0.004385
Bipartite/bipartite_n10_m92_p0.40_24.txt,Bipartite,104,462,O(104+462),11,947,0.000000
Bipartite/bipartite_n11_m98_p0.94_33.txt,Bipartite,111,1123,O(111+1123),34,424,0.008790
Bipartite/bipartite_n12_m62_p0.37_25.txt,Bipartite,76,336,O(76+336),22,310,0.000000
Bipartite/bipartite_n12_m62_p0.92_35.txt,Bipartite,76,747,O(76+747),33,703,0.000000
Bipartite/bipartite_n12_m75_p0.54_15.txt,Bipartite,89,584,O(89+584),16,127,0.000000
Bipartite/bipartite_n13_m18_p0.59_39.txt,Bipartite,33,161,O(33+161),24,317,0.000000
Bipartite/bipartite_n17_m80_p0.43_37.txt,Bipartite,99,654,O(99+654),29,458,0.000000
Bipartite/bipartite_n20_m54_p0.57_7.txt,Bipartite,76,686,O(76+686),52,1999,0.004312
Bipartite/bipartite_n20_m55_p0.96_43.txt,Bipartite,77,1131,O(77+1131),47,507,0.010348
Bipartite/bipartite_n21_m43_p0.43_11.txt,Bipartite,66,446,O(66+446),39,1243,0.000000
Bipartite/bipartite_n24_m53_p0.50_5.txt,Bipartite,79,704,O(79+704),59,793,0.008088
Bipartite/bipartite_n26_m50_p0.79_18.txt,Bipartite,78,1083,O(78+1083),75,2162,0.016985
Bipartite/bipartite_n27_m45_p0.83_20.txt,Bipartite,74,1073,O(74+1073),87,1673,0.016865
Bipartite/bipartite_n28_m78_p0.76_12.txt,Bipartite,108,1762,O(108+1762),70,1116,0.015876
Bipartite/bipartite_n29_m58_p0.43_24.txt,Bipartite,89,841,O(89+841),81,2642,0.011650
Bipartite/bipartite_n29_m64_p0.66_15.txt,Bipartite,95,1298,O(95+1298),80,1334,0.020394
Bipartite/bipartite_n30_m74_p0.85_10.txt,Bipartite,106,1997,O(106+1997),79,1105,0.033894
Bipartite/bipartite_n31_m70_p0.44_8.txt,Bipartite,103,1093,O(103+1093),90,2563,0.016567
Bipartite/bipartite_n31_m93_p0.80_21.txt,Bipartite,126,2453,O(126+2453),90,3191,0.040510
Bipartite/bipartite_n32_m80_p0.43_27.txt,Bipartite,114,1229,O(114+1229),87,1060,0.033716
Bipartite/bipartite_n33_m11_p0.42_1.txt,Bipartite,46,195,O(46+195),21,894,0.000000
Bipartite/bipartite_n33_m16_p0.78_41.txt,Bipartite,51,467,O(51+467),33,237,0.008672
Bipartite/bipartite_n33_m86_p0.77_18.txt,Bipartite,121,2294,O(121+2294),69,350,0.049233
Bipartite/bipartite_n33_m89_p0.41_25.txt,Bipartite,124,1324,O(124+1324),82,1130,0.022173
Bipartite/bipartite_n34_m71_p0.65_46.txt,Bipartite,107,1675,O(107+1675),97,1193,0.032831
Bipartite/bipartite_n34_m72_p0.56_23.txt,Bipartite,108,1471,O(108+1471),118,2646,0.068099
Bipartite/bipartite_n36_m23_p0.93_5.txt,Bipartite,61,842,O(61+842),62,1123,0.024610
Bipartite/bipartite_n36_m53_p0.78_38.txt,Bipartite,91,1594,O(91+1594),108,3049,0.055961
Bipartite/bipartite_n36_m91_p0.92_6.txt,Bipartite,129,3181,O(129+3181),108,2496,0.094261
Bipartite/bipartite_n37_m68_p0.49_7.txt,Bipartite,107,1313,O(107+1313),76,420,0.026225
Bipartite/bipartite_n37_m92_p0.85_36.txt,Bipartite,131,2982,O(131+2982),105,2734,0.076460
Bipartite/bipartite_n38_m26_p0.93_26.txt,Bipartite,66,991,O(66+991),72,1169,0.016790
Bipartite/bipartite_n38_m28_p0.78_40.txt,Bipartite,68,880,O(68+880),73,787,0.013706
Bipartite/bipartite_n38_m36_p0.59_30.txt,Bipartite,76,909,O(76+909),107,3399,0.012246
Bipartite/bipartite_n39_m32_p0.67_1.txt,Bipartite,73,879,O(73+879),119,2408,0.015786
Bipartite/bipartite_n39_m40_p0.56_37.txt,Bipartite,81,951,O(81+951),108,2657,0.022342
Bipartite/bipartite_n40_m69_p0.93_13.txt,Bipartite,111,2644,O(111+2644),88,321,0.069263
Bipartite/bipartite_n41_m49_p0.81_36.txt,Bipartite,92,1724,O(92+1724),153,4067,0.095191
Bipartite/bipartite_n42_m52_p0.78_3.txt,Bipartite,96,1834,O(96+1834),111,1049,0.055894
Bipartite/bipartite_n43_m41_p0.40_3.txt,Bipartite,86,777,O(86+777),140,3569,0.018575
Bipartite/bipartite_n44_m64_p0.73_48.txt,Bipartite,110,2163,O(110+2163),145,3188,0.095907
Bipartite/bipartite_n44_m66_p0.99_50.txt,Bipartite,112,2977,O(112+2977),150,3720,0.094073
Bipartite/bipartite_n45_m24_p0.88_19.txt,Bipartite,71,1019,O(71+1019),62,441,0.011326
Bipartite/bipartite_n49_m45_p0.65_17.txt,Bipartite,96,1496,O(96+1496),171,4592,0.115540
Bipartite/bipartite_n49_m82_p0.87_4.txt,Bipartite,133,3629,O(133+3629),168,4218,0.166248
Bipartite/bipartite_n51_m96_p0.39_8.txt,Bipartite,149,2138,O(149+2138),136,1826,0.048245
Bipartite/bipartite_n52_m45_p0.94_14.txt,Bipartite,99,2302,O(99+2302),129,2316,0.090684
